Date,State,fips,Confirmed,Deaths,New_Cases,New_Cases_Weekly
2020-01-21,Alabama,,0,0,0.0,
2020-01-22,Alabama,,0,0,0.0,
2020-01-23,Alabama,,0,0,0.0,
2020-01-24,Alabama,,0,0,0.0,
2020-01-25,Alabama,,0,0,0.0,
2020-01-26,Alabama,,0,0,0.0,
2020-01-27,Alabama,,0,0,0.0,0.0
2020-01-28,Alabama,,0,0,0.0,0.0
2020-01-29,Alabama,,0,0,0.0,0.0
2020-01-30,Alabama,,0,0,0.0,0.0
2020-01-31,Alabama,,0,0,0.0,0.0
2020-02-01,Alabama,,0,0,0.0,0.0
2020-02-02,Alabama,,0,0,0.0,0.0
2020-02-03,Alabama,,0,0,0.0,0.0
2020-02-04,Alabama,,0,0,0.0,0.0
2020-02-05,Alabama,,0,0,0.0,0.0
2020-02-06,Alabama,,0,0,0.0,0.0
2020-02-07,Alabama,,0,0,0.0,0.0
2020-02-08,Alabama,,0,0,0.0,0.0
2020-02-09,Alabama,,0,0,0.0,0.0
2020-02-10,Alabama,,0,0,0.0,0.0
2020-02-11,Alabama,,0,0,0.0,0.0
2020-02-12,Alabama,,0,0,0.0,0.0
2020-02-13,Alabama,,0,0,0.0,0.0
2020-02-14,Alabama,,0,0,0.0,0.0
2020-02-15,Alabama,,0,0,0.0,0.0
2020-02-16,Alabama,,0,0,0.0,0.0
2020-02-17,Alabama,,0,0,0.0,0.0
2020-02-18,Alabama,,0,0,0.0,0.0
2020-02-19,Alabama,,0,0,0.0,0.0
2020-02-20,Alabama,,0,0,0.0,0.0
2020-02-21,Alabama,,0,0,0.0,0.0
2020-02-22,Alabama,,0,0,0.0,0.0
2020-02-23,Alabama,,0,0,0.0,0.0
2020-02-24,Alabama,,0,0,0.0,0.0
2020-02-25,Alabama,,0,0,0.0,0.0
2020-02-26,Alabama,,0,0,0.0,0.0
2020-02-27,Alabama,,0,0,0.0,0.0
2020-02-28,Alabama,,0,0,0.0,0.0
2020-02-29,Alabama,,0,0,0.0,0.0
2020-03-01,Alabama,,0,0,0.0,0.0
2020-03-02,Alabama,,0,0,0.0,0.0
2020-03-03,Alabama,,0,0,0.0,0.0
2020-03-04,Alabama,,0,0,0.0,0.0
2020-03-05,Alabama,,0,0,0.0,0.0
2020-03-06,Alabama,,0,0,0.0,0.0
2020-03-07,Alabama,,0,0,0.0,0.0
2020-03-08,Alabama,,0,0,0.0,0.0
2020-03-09,Alabama,,0,0,0.0,0.0
2020-03-10,Alabama,,0,0,0.0,0.0
2020-03-11,Alabama,,0,0,0.0,0.0
2020-03-12,Alabama,,0,0,0.0,0.0
2020-03-13,Alabama,1.0,6,0,6.0,0.8571428571428571
2020-03-14,Alabama,1.0,12,0,6.0,1.7142857142857142
2020-03-15,Alabama,1.0,23,0,11.0,3.2857142857142856
2020-03-16,Alabama,1.0,29,0,6.0,4.142857142857143
2020-03-17,Alabama,1.0,39,0,10.0,5.571428571428571
2020-03-18,Alabama,1.0,51,0,12.0,7.285714285714286
2020-03-19,Alabama,1.0,78,0,27.0,11.142857142857142
2020-03-20,Alabama,1.0,106,0,28.0,14.285714285714286
2020-03-21,Alabama,1.0,131,0,25.0,17.0
2020-03-22,Alabama,1.0,157,0,26.0,19.142857142857142
2020-03-23,Alabama,1.0,196,0,39.0,23.857142857142858
2020-03-24,Alabama,1.0,242,0,46.0,29.0
2020-03-25,Alabama,1.0,386,1,144.0,47.857142857142854
2020-03-26,Alabama,1.0,538,3,152.0,65.71428571428571
2020-03-27,Alabama,1.0,639,4,101.0,76.14285714285714
2020-03-28,Alabama,1.0,720,4,81.0,84.14285714285714
2020-03-29,Alabama,1.0,830,5,110.0,96.14285714285714
2020-03-30,Alabama,1.0,947,11,117.0,107.28571428571429
2020-03-31,Alabama,1.0,999,13,52.0,108.14285714285714
2020-04-01,Alabama,1.0,1106,28,107.0,102.85714285714286
2020-04-02,Alabama,1.0,1270,32,164.0,104.57142857142857
2020-04-03,Alabama,1.0,1535,38,265.0,128.0
2020-04-04,Alabama,1.0,1632,44,97.0,130.28571428571428
2020-04-05,Alabama,1.0,1840,45,208.0,144.28571428571428
2020-04-06,Alabama,1.0,2005,53,165.0,151.14285714285714
2020-04-07,Alabama,1.0,2197,64,192.0,171.14285714285714
2020-04-08,Alabama,1.0,2498,67,301.0,198.85714285714286
2020-04-09,Alabama,1.0,2838,78,340.0,224.0
2020-04-10,Alabama,1.0,3008,80,170.0,210.42857142857142
2020-04-11,Alabama,1.0,3262,93,254.0,232.85714285714286
2020-04-12,Alabama,1.0,3583,93,321.0,249.0
2020-04-13,Alabama,1.0,3805,104,222.0,257.14285714285717
2020-04-14,Alabama,1.0,3953,114,148.0,250.85714285714286
2020-04-15,Alabama,1.0,4241,123,288.0,249.0
2020-04-16,Alabama,1.0,4404,137,163.0,223.71428571428572
2020-04-17,Alabama,1.0,4572,151,168.0,223.42857142857142
2020-04-18,Alabama,1.0,4723,147,151.0,208.71428571428572
2020-04-19,Alabama,1.0,4903,160,180.0,188.57142857142858
2020-04-20,Alabama,1.0,5078,164,175.0,181.85714285714286
2020-04-21,Alabama,1.0,5327,186,249.0,196.28571428571428
2020-04-22,Alabama,1.0,5610,201,283.0,195.57142857142858
2020-04-23,Alabama,1.0,5832,197,222.0,204.0
2020-04-24,Alabama,1.0,6026,209,194.0,207.71428571428572
2020-04-25,Alabama,1.0,6213,213,187.0,212.85714285714286
2020-04-26,Alabama,1.0,6421,219,208.0,216.85714285714286
2020-04-27,Alabama,1.0,6539,228,118.0,208.71428571428572
2020-04-28,Alabama,1.0,6750,242,211.0,203.28571428571428
2020-04-29,Alabama,1.0,6925,262,175.0,187.85714285714286
2020-04-30,Alabama,1.0,7068,272,143.0,176.57142857142858
2020-05-01,Alabama,1.0,7294,289,226.0,181.14285714285714
2020-05-02,Alabama,1.0,7611,288,317.0,199.71428571428572
2020-05-03,Alabama,1.0,7888,290,277.0,209.57142857142858
2020-05-04,Alabama,1.0,8112,298,224.0,224.71428571428572
2020-05-05,Alabama,1.0,8437,315,325.0,241.0
2020-05-06,Alabama,1.0,8691,343,254.0,252.28571428571428
2020-05-07,Alabama,1.0,9046,369,355.0,282.57142857142856
2020-05-08,Alabama,1.0,9385,383,339.0,298.7142857142857
2020-05-09,Alabama,1.0,9668,390,283.0,293.85714285714283
2020-05-10,Alabama,1.0,9889,393,221.0,285.85714285714283
2020-05-11,Alabama,1.0,10164,403,275.0,293.14285714285717
2020-05-12,Alabama,1.0,10464,435,300.0,289.57142857142856
2020-01-21,Alaska,,0,0,0.0,
2020-01-22,Alaska,,0,0,0.0,
2020-01-23,Alaska,,0,0,0.0,
2020-01-24,Alaska,,0,0,0.0,
2020-01-25,Alaska,,0,0,0.0,
2020-01-26,Alaska,,0,0,0.0,
2020-01-27,Alaska,,0,0,0.0,0.0
2020-01-28,Alaska,,0,0,0.0,0.0
2020-01-29,Alaska,,0,0,0.0,0.0
2020-01-30,Alaska,,0,0,0.0,0.0
2020-01-31,Alaska,,0,0,0.0,0.0
2020-02-01,Alaska,,0,0,0.0,0.0
2020-02-02,Alaska,,0,0,0.0,0.0
2020-02-03,Alaska,,0,0,0.0,0.0
2020-02-04,Alaska,,0,0,0.0,0.0
2020-02-05,Alaska,,0,0,0.0,0.0
2020-02-06,Alaska,,0,0,0.0,0.0
2020-02-07,Alaska,,0,0,0.0,0.0
2020-02-08,Alaska,,0,0,0.0,0.0
2020-02-09,Alaska,,0,0,0.0,0.0
2020-02-10,Alaska,,0,0,0.0,0.0
2020-02-11,Alaska,,0,0,0.0,0.0
2020-02-12,Alaska,,0,0,0.0,0.0
2020-02-13,Alaska,,0,0,0.0,0.0
2020-02-14,Alaska,,0,0,0.0,0.0
2020-02-15,Alaska,,0,0,0.0,0.0
2020-02-16,Alaska,,0,0,0.0,0.0
2020-02-17,Alaska,,0,0,0.0,0.0
2020-02-18,Alaska,,0,0,0.0,0.0
2020-02-19,Alaska,,0,0,0.0,0.0
2020-02-20,Alaska,,0,0,0.0,0.0
2020-02-21,Alaska,,0,0,0.0,0.0
2020-02-22,Alaska,,0,0,0.0,0.0
2020-02-23,Alaska,,0,0,0.0,0.0
2020-02-24,Alaska,,0,0,0.0,0.0
2020-02-25,Alaska,,0,0,0.0,0.0
2020-02-26,Alaska,,0,0,0.0,0.0
2020-02-27,Alaska,,0,0,0.0,0.0
2020-02-28,Alaska,,0,0,0.0,0.0
2020-02-29,Alaska,,0,0,0.0,0.0
2020-03-01,Alaska,,0,0,0.0,0.0
2020-03-02,Alaska,,0,0,0.0,0.0
2020-03-03,Alaska,,0,0,0.0,0.0
2020-03-04,Alaska,,0,0,0.0,0.0
2020-03-05,Alaska,,0,0,0.0,0.0
2020-03-06,Alaska,,0,0,0.0,0.0
2020-03-07,Alaska,,0,0,0.0,0.0
2020-03-08,Alaska,,0,0,0.0,0.0
2020-03-09,Alaska,,0,0,0.0,0.0
2020-03-10,Alaska,,0,0,0.0,0.0
2020-03-11,Alaska,,0,0,0.0,0.0
2020-03-12,Alaska,2.0,1,0,1.0,0.14285714285714285
2020-03-13,Alaska,2.0,1,0,0.0,0.14285714285714285
2020-03-14,Alaska,2.0,1,0,0.0,0.14285714285714285
2020-03-15,Alaska,2.0,1,0,0.0,0.14285714285714285
2020-03-16,Alaska,2.0,3,0,2.0,0.42857142857142855
2020-03-17,Alaska,2.0,6,0,3.0,0.8571428571428571
2020-03-18,Alaska,2.0,9,0,3.0,1.2857142857142858
2020-03-19,Alaska,2.0,12,0,3.0,1.5714285714285714
2020-03-20,Alaska,2.0,14,0,2.0,1.8571428571428572
2020-03-21,Alaska,2.0,21,0,7.0,2.857142857142857
2020-03-22,Alaska,2.0,22,0,1.0,3.0
2020-03-23,Alaska,2.0,36,0,14.0,4.714285714285714
2020-03-24,Alaska,2.0,42,0,6.0,5.142857142857143
2020-03-25,Alaska,2.0,59,0,17.0,7.142857142857143
2020-03-26,Alaska,2.0,69,0,10.0,8.142857142857142
2020-03-27,Alaska,2.0,85,1,16.0,10.142857142857142
2020-03-28,Alaska,2.0,102,1,17.0,11.571428571428571
2020-03-29,Alaska,2.0,114,1,12.0,13.142857142857142
2020-03-30,Alaska,2.0,119,2,5.0,11.857142857142858
2020-03-31,Alaska,2.0,133,2,14.0,13.0
2020-04-01,Alaska,2.0,143,2,10.0,12.0
2020-04-02,Alaska,2.0,146,2,3.0,11.0
2020-04-03,Alaska,2.0,156,2,10.0,10.142857142857142
2020-04-04,Alaska,2.0,169,3,13.0,9.571428571428571
2020-04-05,Alaska,2.0,183,4,14.0,9.857142857142858
2020-04-06,Alaska,2.0,189,4,6.0,10.0
2020-04-07,Alaska,2.0,211,4,22.0,11.142857142857142
2020-04-08,Alaska,2.0,224,5,13.0,11.571428571428571
2020-04-09,Alaska,2.0,233,5,9.0,12.428571428571429
2020-04-10,Alaska,2.0,244,5,11.0,12.571428571428571
2020-04-11,Alaska,2.0,255,6,11.0,12.285714285714286
2020-04-12,Alaska,2.0,270,6,15.0,12.428571428571429
2020-04-13,Alaska,2.0,275,6,5.0,12.285714285714286
2020-04-14,Alaska,2.0,283,7,8.0,10.285714285714286
2020-04-15,Alaska,2.0,291,7,8.0,9.571428571428571
2020-04-16,Alaska,2.0,298,7,7.0,9.285714285714286
2020-04-17,Alaska,2.0,307,7,9.0,9.0
2020-04-18,Alaska,2.0,312,7,5.0,8.142857142857142
2020-04-19,Alaska,2.0,317,7,5.0,6.714285714285714
2020-04-20,Alaska,2.0,319,7,2.0,6.285714285714286
2020-04-21,Alaska,2.0,327,7,8.0,6.285714285714286
2020-04-22,Alaska,2.0,333,7,6.0,6.0
2020-04-23,Alaska,2.0,335,7,2.0,5.285714285714286
2020-04-24,Alaska,2.0,337,7,2.0,4.285714285714286
2020-04-25,Alaska,2.0,337,7,0.0,3.5714285714285716
2020-04-26,Alaska,2.0,339,7,2.0,3.142857142857143
2020-04-27,Alaska,2.0,343,7,4.0,3.4285714285714284
2020-04-28,Alaska,2.0,349,7,6.0,3.142857142857143
2020-04-29,Alaska,2.0,353,7,4.0,2.857142857142857
2020-04-30,Alaska,2.0,353,7,0.0,2.5714285714285716
2020-05-01,Alaska,2.0,362,7,9.0,3.5714285714285716
2020-05-02,Alaska,2.0,363,7,1.0,3.7142857142857144
2020-05-03,Alaska,2.0,366,7,3.0,3.857142857142857
2020-05-04,Alaska,2.0,368,7,2.0,3.5714285714285716
2020-05-05,Alaska,2.0,369,7,1.0,2.857142857142857
2020-05-06,Alaska,2.0,370,8,1.0,2.4285714285714284
2020-05-07,Alaska,2.0,373,8,3.0,2.857142857142857
2020-05-08,Alaska,2.0,376,8,3.0,2.0
2020-05-09,Alaska,2.0,377,8,1.0,2.0
2020-05-10,Alaska,2.0,378,8,1.0,1.7142857142857142
2020-05-11,Alaska,2.0,380,8,2.0,1.7142857142857142
2020-05-12,Alaska,2.0,383,8,3.0,2.0
2020-01-21,Arizona,,0,0,0.0,
2020-01-22,Arizona,,0,0,0.0,
2020-01-23,Arizona,,0,0,0.0,
2020-01-24,Arizona,,0,0,0.0,
2020-01-25,Arizona,,0,0,0.0,
2020-01-26,Arizona,4.0,1,0,1.0,
2020-01-27,Arizona,4.0,1,0,0.0,0.14285714285714285
2020-01-28,Arizona,4.0,1,0,0.0,0.14285714285714285
2020-01-29,Arizona,4.0,1,0,0.0,0.14285714285714285
2020-01-30,Arizona,4.0,1,0,0.0,0.14285714285714285
2020-01-31,Arizona,4.0,1,0,0.0,0.14285714285714285
2020-02-01,Arizona,4.0,1,0,0.0,0.14285714285714285
2020-02-02,Arizona,4.0,1,0,0.0,0.0
2020-02-03,Arizona,4.0,1,0,0.0,0.0
2020-02-04,Arizona,4.0,1,0,0.0,0.0
2020-02-05,Arizona,4.0,1,0,0.0,0.0
2020-02-06,Arizona,4.0,1,0,0.0,0.0
2020-02-07,Arizona,4.0,1,0,0.0,0.0
2020-02-08,Arizona,4.0,1,0,0.0,0.0
2020-02-09,Arizona,4.0,1,0,0.0,0.0
2020-02-10,Arizona,4.0,1,0,0.0,0.0
2020-02-11,Arizona,4.0,1,0,0.0,0.0
2020-02-12,Arizona,4.0,1,0,0.0,0.0
2020-02-13,Arizona,4.0,1,0,0.0,0.0
2020-02-14,Arizona,4.0,1,0,0.0,0.0
2020-02-15,Arizona,4.0,1,0,0.0,0.0
2020-02-16,Arizona,4.0,1,0,0.0,0.0
2020-02-17,Arizona,4.0,1,0,0.0,0.0
2020-02-18,Arizona,4.0,1,0,0.0,0.0
2020-02-19,Arizona,4.0,1,0,0.0,0.0
2020-02-20,Arizona,4.0,1,0,0.0,0.0
2020-02-21,Arizona,4.0,1,0,0.0,0.0
2020-02-22,Arizona,4.0,1,0,0.0,0.0
2020-02-23,Arizona,4.0,1,0,0.0,0.0
2020-02-24,Arizona,4.0,1,0,0.0,0.0
2020-02-25,Arizona,4.0,1,0,0.0,0.0
2020-02-26,Arizona,4.0,1,0,0.0,0.0
2020-02-27,Arizona,4.0,1,0,0.0,0.0
2020-02-28,Arizona,4.0,1,0,0.0,0.0
2020-02-29,Arizona,4.0,1,0,0.0,0.0
2020-03-01,Arizona,4.0,1,0,0.0,0.0
2020-03-02,Arizona,4.0,1,0,0.0,0.0
2020-03-03,Arizona,4.0,2,0,1.0,0.14285714285714285
2020-03-04,Arizona,4.0,2,0,0.0,0.14285714285714285
2020-03-05,Arizona,4.0,2,0,0.0,0.14285714285714285
2020-03-06,Arizona,4.0,3,0,1.0,0.2857142857142857
2020-03-07,Arizona,4.0,5,0,2.0,0.5714285714285714
2020-03-08,Arizona,4.0,5,0,0.0,0.5714285714285714
2020-03-09,Arizona,4.0,6,0,1.0,0.7142857142857143
2020-03-10,Arizona,4.0,6,0,0.0,0.5714285714285714
2020-03-11,Arizona,4.0,9,0,3.0,1.0
2020-03-12,Arizona,4.0,9,0,0.0,1.0
2020-03-13,Arizona,4.0,9,0,0.0,0.8571428571428571
2020-03-14,Arizona,4.0,12,0,3.0,1.0
2020-03-15,Arizona,4.0,13,0,1.0,1.1428571428571428
2020-03-16,Arizona,4.0,18,0,5.0,1.7142857142857142
2020-03-17,Arizona,4.0,20,0,2.0,2.0
2020-03-18,Arizona,4.0,28,0,8.0,2.7142857142857144
2020-03-19,Arizona,4.0,47,0,19.0,5.428571428571429
2020-03-20,Arizona,4.0,70,1,23.0,8.714285714285714
2020-03-21,Arizona,4.0,104,1,34.0,13.142857142857142
2020-03-22,Arizona,4.0,153,2,49.0,20.0
2020-03-23,Arizona,4.0,234,2,81.0,30.857142857142858
2020-03-24,Arizona,4.0,326,6,92.0,43.714285714285715
2020-03-25,Arizona,4.0,402,6,76.0,53.42857142857143
2020-03-26,Arizona,4.0,508,8,106.0,65.85714285714286
2020-03-27,Arizona,4.0,665,15,157.0,85.0
2020-03-28,Arizona,4.0,773,15,108.0,95.57142857142857
2020-03-29,Arizona,4.0,929,18,156.0,110.85714285714286
2020-03-30,Arizona,4.0,1169,20,240.0,133.57142857142858
